Section SIS ID,SIS ID
11001,13001
11001,13002
11001,13003
11001,13004
11001,13005
11001,13006
11001,13007
11001,13008
11001,13009
11001,13010
11001,13011
11001,13012
11001,13013
11001,13014
11001,13015
11001,13016
11001,13017
11001,13018
11001,13019
11001,13020
11001,13021
11001,13022
11001,13023
11001,13024
11001,13025
11001,13026
11001,13027
11001,13028
11001,13029
11001,13030
11002,13031
11002,13032
11002,13033
11002,13034
11002,13035
11002,13036
11002,13037
11002,13038
11002,13039
11002,13040
11002,13041
11002,13042
11002,13043
11002,13044
11002,13045
11002,13046
11002,13047
11002,13048
11002,13049
11002,13050
11002,13051
11002,13052
11002,13053
11002,13054
11002,13055
11002,13056
11002,13057
11002,13058
11002,13059
11002,13060
11003,13001
11003,13002
11003,13003
11003,13004
11003,13005
11003,13006
11003,13007
11003,13008
11003,13009
11003,13010
11003,13011
11003,13012
11003,13013
11003,13014
11003,13015
11003,13016
11003,13017
11003,13018
11003,13019
11003,13020
11003,13021
11003,13022
11003,13023
11003,13024
11003,13025
11003,13026
11003,13027
11003,13028
11003,13029
11003,13030
11004,13031
11004,13032
11004,13033
11004,13034
11004,13035
11004,13036
11004,13037
11004,13038
11004,13039
11004,13040
11004,13041
11004,13042
11004,13043
11004,13044
11004,13045
11004,13046
11004,13047
11004,13048
11004,13049
11004,13050
11004,13051
11004,13052
11004,13053
11004,13054
11004,13055
11004,13056
11004,13057
11004,13058
11004,13059
11004,13060
11005,13001
11005,13002
11005,13003
11005,13004
11005,13005
11005,13006
11005,13007
11005,13008
11005,13009
11005,13010
11005,13011
11005,13012
11005,13013
11005,13014
11005,13015
11005,13016
11005,13017
11005,13018
11005,13019
11005,13020
11005,13021
11005,13022
11005,13023
11005,13024
11005,13025
11005,13026
11005,13027
11005,13028
11005,13029
11005,13030
11006,13031
11006,13032
11006,13033
11006,13034
11006,13035
11006,13036
11006,13037
11006,13038
11006,13039
11006,13040
11006,13041
11006,13042
11006,13043
11006,13044
11006,13045
11006,13046
11006,13047
11006,13048
11006,13049
11006,13050
11006,13051
11006,13052
11006,13053
11006,13054
11006,13055
11006,13056
11006,13057
11006,13058
11006,13059
11006,13060
11007,13001
11007,13002
11007,13003
11007,13004
11007,13005
11007,13006
11007,13007
11007,13008
11007,13009
11007,13010
11007,13011
11007,13012
11007,13013
11007,13014
11007,13015
11007,13016
11007,13017
11007,13018
11007,13019
11007,13020
11007,13021
11007,13022
11007,13023
11007,13024
11007,13025
11007,13026
11007,13027
11007,13028
11007,13029
11007,13030
11008,13031
11008,13032
11008,13033
11008,13034
11008,13035
11008,13036
11008,13037
11008,13038
11008,13039
11008,13040
11008,13041
11008,13042
11008,13043
11008,13044
11008,13045
11008,13046
11008,13047
11008,13048
11008,13049
11008,13050
11008,13051
11008,13052
11008,13053
11008,13054
11008,13055
11008,13056
11008,13057
11008,13058
11008,13059
11008,13060
11009,13001
11009,13002
11009,13003
11009,13004
11009,13005
11009,13006
11009,13007
11009,13008
11009,13009
11009,13010
11009,13011
11009,13012
11009,13013
11009,13014
11009,13015
11009,13016
11009,13017
11009,13018
11009,13019
11009,13020
11009,13021
11009,13022
11009,13023
11009,13024
11009,13025
11009,13026
11009,13027
11009,13028
11009,13029
11009,13030
11010,13031
11010,13032
11010,13033
11010,13034
11010,13035
11010,13036
11010,13037
11010,13038
11010,13039
11010,13040
11010,13041
11010,13042
11010,13043
11010,13044
11010,13045
11010,13046
11010,13047
11010,13048
11010,13049
11010,13050
11010,13051
11010,13052
11010,13053
11010,13054
11010,13055
11010,13056
11010,13057
11010,13058
11010,13059
11010,13060
11011,13001
11011,13002
11011,13003
11011,13004
11011,13005
11011,13006
11011,13007
11011,13008
11011,13009
11011,13010
11011,13011
11011,13012
11011,13013
11011,13014
11011,13015
11011,13016
11011,13017
11011,13018
11011,13019
11011,13020
11011,13021
11011,13022
11011,13023
11011,13024
11011,13025
11011,13026
11011,13027
11011,13028
11011,13029
11011,13030
11012,13031
11012,13032
11012,13033
11012,13034
11012,13035
11012,13036
11012,13037
11012,13038
11012,13039
11012,13040
11012,13041
11012,13042
11012,13043
11012,13044
11012,13045
11012,13046
11012,13047
11012,13048
11012,13049
11012,13050
11012,13051
11012,13052
11012,13053
11012,13054
11012,13055
11012,13056
11012,13057
11012,13058
11012,13059
11012,13060
11013,13001
11013,13002
11013,13003
11013,13004
11013,13005
11013,13006
11013,13007
11013,13008
11013,13009
11013,13010
11013,13011
11013,13012
11013,13013
11013,13014
11013,13015
11013,13016
11013,13017
11013,13018
11013,13019
11013,13020
11013,13021
11013,13022
11013,13023
11013,13024
11013,13025
11013,13026
11013,13027
11013,13028
11013,13029
11013,13030
11014,13031
11014,13032
11014,13033
11014,13034
11014,13035
11014,13036
11014,13037
11014,13038
11014,13039
11014,13040
11014,13041
11014,13042
11014,13043
11014,13044
11014,13045
11014,13046
11014,13047
11014,13048
11014,13049
11014,13050
11014,13051
11014,13052
11014,13053
11014,13054
11014,13055
11014,13056
11014,13057
11014,13058
11014,13059
11014,13060
11015,13061
11015,13062
11015,13063
11015,13064
11015,13065
11015,13066
11015,13067
11015,13068
11015,13069
11015,13070
11015,13071
11015,13072
11015,13073
11015,13074
11015,13075
11015,13076
11015,13077
11015,13078
11015,13079
11015,13080
11015,13081
11015,13082
11015,13083
11015,13084
11015,13085
11015,13086
11016,13061
11016,13062
11016,13063
11016,13064
11016,13065
11016,13066
11016,13067
11016,13068
11016,13069
11016,13070
11016,13071
11016,13072
11016,13073
11016,13074
11016,13075
11016,13076
11016,13077
11016,13078
11016,13079
11016,13080
11016,13081
11016,13082
11016,13083
11016,13084
11016,13085
11016,13086
11017,13061
11017,13062
11017,13063
11017,13064
11017,13065
11017,13066
11017,13067
11017,13068
11017,13069
11017,13070
11017,13071
11017,13072
11017,13073
11017,13074
11017,13075
11017,13076
11017,13077
11017,13078
11017,13079
11017,13080
11017,13081
11017,13082
11017,13083
11017,13084
11017,13085
11017,13086
11018,13061
11018,13062
11018,13063
11018,13064
11018,13065
11018,13066
11018,13067
11018,13068
11018,13069
11018,13070
11018,13071
11018,13072
11018,13073
11018,13074
11018,13075
11018,13076
11018,13077
11018,13078
11018,13079
11018,13080
11018,13081
11018,13082
11018,13083
11018,13084
11018,13085
11018,13086
11019,13061
11019,13062
11019,13063
11019,13064
11019,13065
11019,13066
11019,13067
11019,13068
11019,13069
11019,13070
11019,13071
11019,13072
11019,13073
11019,13074
11019,13075
11019,13076
11019,13077
11019,13078
11019,13079
11019,13080
11019,13081
11019,13082
11019,13083
11019,13084
11019,13085
11019,13086
11020,13061
11020,13062
11020,13063
11020,13064
11020,13065
11020,13066
11020,13067
11020,13068
11020,13069
11020,13070
11020,13071
11020,13072
11020,13073
11020,13074
11020,13075
11020,13076
11020,13077
11020,13078
11020,13079
11020,13080
11020,13081
11020,13082
11020,13083
11020,13084
11020,13085
11020,13086
11021,13061
11021,13062
11021,13063
11021,13064
11021,13065
11021,13066
11021,13067
11021,13068
11021,13069
11021,13070
11021,13071
11021,13072
11021,13073
11021,13074
11021,13075
11021,13076
11021,13077
11021,13078
11021,13079
11021,13080
11021,13081
11021,13082
11021,13083
